index_date,petr4,volume
2015-01-01,8.71017787760233,1411604279.50059
2015-02-01,9.76521894553739,1267544085.55441
2015-03-01,9.40874434891045,981349991.645756
2015-04-01,11.6876099220285,1636413258.32408
2015-05-01,13.1273539641037,992395007.238804
2015-06-01,13.3010498532161,879861625.741384
2015-07-01,11.0638034197144,1105569612.06413
2015-08-01,9.91277115425552,989271355.206557
2015-09-01,7.65525670158298,1172362029.23572
2015-10-01,6.0660111051389,1123812146.15316
2015-11-01,7.03213756914399,973681215.952179
2015-12-01,7.00353156590557,1099966022.2349
2016-01-01,5.15401447147812,1383913664.2431
2016-02-01,5.2474505839941,1330219750.25348
2016-03-01,7.94550272607522,1743125283.23604
2016-04-01,8.89286840412863,796394022.302875
2016-05-01,8.93492245459879,1094228283.52055
2016-06-01,9.96083129352408,1151327066.63487
2016-07-01,12.5374309153371,1243497598.51225
2016-08-01,13.7537072892435,1103816367.11508
2016-09-01,14.0267439784568,1041440976.78398
2016-10-01,16.0267566615319,1074574103.73221
2016-11-01,15.3033832735062,1281269954.4085
2016-12-01,15.042156210537,934735184.379978
2017-01-01,15.1541566717273,660257330.206531
2017-02-01,15.3548001478498,702793083.423868
2017-03-01,14.0543417454941,818512696.913936
2017-04-01,12.7704597003617,680120514.73441
2017-05-01,13.9130118101024,972671351.588562
2017-06-01,12.8294184727664,843025424.665088
2017-07-01,13.9625398769678,769874683.158672
2017-08-01,14.7071992454611,875673483.385581
2017-09-01,15.8989818099535,899310171.981535
2017-10-01,15.0561415330639,761267815.972679
2017-11-01,14.5850404771568,738522224.313719
2017-12-01,16.1178561605197,759675522.173494
2018-01-01,19.5202037284571,958796274.101219
2018-02-01,21.8458271317988,973012130.391307
2018-03-01,21.1055544447237,832469369.704222
2018-04-01,22.2271615588938,1077921194.68525
2018-05-01,19.7791385578777,1900592727.77675
2018-06-01,17.3042855468096,1680213000.45942
2018-07-01,20.3520040489053,1254965809.77405
2018-08-01,20.3636499298139,1315212336.44385
2018-09-01,21.7615615330244,1160032760.18365
2018-10-01,26.0572346211275,2059878316.04476
2018-11-01,24.5563796509372,1562992925.22027
2018-12-01,22.4549122201495,1670753861.82369
2019-01-01,25.1207172558374,1373426516.63796
2019-02-01,27.8394894363778,1133848911.21506
2019-03-01,28.0384905829117,1068673594.36249
2019-04-01,26.8163655160136,1447141179.37778
2019-05-01,26.1182314986692,1005540316.15543
2019-06-01,27.098287977162,919036075.987282
2019-07-01,26.5690436580138,915228334.61204
2019-08-01,26.5032139676268,1176424767.39225
2019-09-01,28.32295629341,1006022540.61768
2019-10-01,29.0977429072119,952590704.213941
2019-11-01,28.0381141028956,1087128010.65247
2019-12-01,29.7463701251885,961077609.238681
2020-01-01,27.8515775373924,969514529.011045
2020-02-01,26.5024888814347,1110658802.09743
2020-03-01,14.3333698428562,2511407413.77101
2020-04-01,18.3088063720382,2415863217.28725
2020-05-01,20.5911800741579,1578724148.73449
2020-06-01,20.7114897278928,1682274622.38505
2020-07-01,22.5458364771227,1518422113.53363
2020-08-01,22.7036151332492,1155854716.73428
2020-09-01,20.3634831889096,1304288926.84924
2020-10-01,18.0014123199423,1402963509.68109
2020-11-01,23.6403580516913,1596916613.1899
2020-12-01,27.6090264459124,1246639373.38494
2021-01-01,26.1414718244967,1323726342.23011
2021-02-01,23.8469408992417,2324783635.9095
2021-03-01,24.7772213527951,1798126302.34029
2021-04-01,24.213578095231,1286435269.40236
2021-05-01,26.8465572947455,1549911289.99572
2021-06-01,28.2740272760751,1444106572.30727
2021-07-01,27.0332800714895,1405805213.16424
2021-08-01,27.7292976297784,1842247571.8607
2021-09-01,28.0308883285428,1677804049.83105
2021-10-01,26.4729189118918,1698574255.29554
2021-11-01,28.0846517744683,1566687863.81191
2021-12-01,27.6193706425391,1563110361.1345
2022-01-01,,1551169381.70454
2022-02-01,,1521007703.55357
2022-03-01,,1353680284.61906
2022-04-01,,1515641372.44397
2022-05-01,,1561837920.29179
2022-06-01,,1602184168.77398
2022-07-01,,1819629468.02489
2022-08-01,,1598397277.31346
2022-09-01,,1686694044.40072
2022-10-01,,1566178313.78046
2022-11-01,,1515407298.88915
2022-12-01,,1739724299.17417
